Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG
1979-02,-3.56,0.54,1.17,-1.12,0.94,0.73,-1.06,0.3373,-0.1889,-2.2888,0.5501
1979-03,5.68,3.24,-0.71,0.53,0.32,0.81,2.93,3.7194,1.3599,2.7614,0.6033
1979-04,-0.06,2.37,1.12,1.08,0.17,0.8,0.81,2.2869,1.0161,2.162,-0.3026
1979-05,-2.21,0.18,1.31,-1.54,-0.27,0.82,-0.54,0.6535,-0.0723,-0.8405,0.543
1979-06,3.85,1.0,1.44,-1.66,-0.52,0.81,0.84,0.7612,-0.642,-0.9832,-1.8183
1979-07,0.82,1.27,1.86,-0.29,0.71,0.77,-1.07,1.2433,0.7427,0.5163,-0.4344
1979-08,5.53,1.92,-1.58,1.62,-1.48,0.77,-0.2,1.6648,-0.3503,2.9616,0.0183
1979-09,-0.82,-0.32,-0.9,1.01,0.32,0.83,5.28,0.0448,0.1081,0.7035,2.9999
1979-10,-8.1,-3.5,-1.84,1.01,0.07,0.87,2.01,-3.1723,0.072,1.0303,1.6857
1979-11,5.21,2.53,-3.29,0.06,-2.12,0.99,8.14,2.1523,-2.3923,2.3423,-0.3321
1979-12,1.79,4.32,-2.1,-0.7,-0.92,0.95,4.78,3.9488,-1.0325,1.1576,-0.1427
1980-01,5.51,1.83,1.75,-1.7,1.64,0.8,7.55,0.6856,1.6011,1.6908,0.5075
1980-02,-1.22,-1.57,0.61,0.04,2.68,0.89,7.88,-1.2553,1.7384,2.2085,3.5215
1980-03,-12.9,-6.93,-1.01,1.46,-1.19,1.21,-9.55,-6.6311,0.4902,-1.0561,-0.8975
1980-04,3.97,1.05,1.06,-2.1,0.29,1.26,-0.43,1.3721,1.292,0.1315,1.527
1980-05,5.26,2.11,0.38,0.34,-0.31,0.81,-1.12,1.5081,-1.4097,-0.9435,-0.8711
1980-06,3.06,1.41,-0.76,-0.15,-1.26,0.61,1.62,1.4531,-0.8706,2.8361,0.7824
1980-07,6.49,3.82,-6.41,4.06,-2.43,0.53,0.39,3.6685,-2.0836,-0.376,-3.2905
1980-08,1.8,4.25,-2.6,2.06,-0.86,0.64,3.21,4.5284,0.574,2.5483,1.6329
1980-09,2.19,0.67,-4.59,1.91,-2.76,0.75,5.39,0.6982,-0.4471,5.2169,2.3899
1980-10,1.06,2.33,-2.76,1.65,-1.15,0.95,7.3,1.0605,0.5273,4.1939,2.6902
1980-11,9.59,-3.31,-8.33,4.5,-5.66,0.96,15.22,-5.1073,-1.9974,9.0598,0.5686
1980-12,-4.52,-0.29,2.79,-1.29,1.24,1.31,-6.68,1.0538,0.935,-1.2569,0.0925
1981-01,-5.04,3.29,6.72,-3.51,4.33,1.04,-7.95,3.7945,2.4815,-4.9423,0.7415
1981-02,0.57,-0.5,1.02,0.21,2.22,1.07,-1.35,-0.0834,1.8542,0.789,1.6319
1981-03,3.56,3.02,0.64,-2.24,-0.54,1.21,0.74,3.456,-1.8348,-1.4715,-1.87
1981-04,-2.11,4.59,2.28,0.83,1.24,1.08,-0.91,4.2606,2.4423,1.3085,1.0692
1981-05,0.11,2.45,-0.42,0.3,-1.53,1.15,3.7,2.6196,-0.4474,-0.1153,1.7028
1981-06,-2.36,-0.96,5.13,-1.37,2.66,1.35,-5.81,-0.6758,2.69,0.0218,1.7127
1981-07,-1.54,-2.05,-0.5,1.26,-2.54,1.24,-2.45,-1.8126,-2.0459,3.0661,-0.5199
1981-08,-7.04,-1.81,4.76,-0.32,1.41,1.28,-1.15,-1.3698,1.4792,0.6495,2.5305
1981-09,-7.17,-2.45,5.17,0.08,2.63,1.24,1.95,-1.7674,3.203,0.4439,3.9584
1981-10,4.92,2.37,-4.21,3.15,-3.01,1.21,4.01,1.8475,-1.0688,4.7505,-1.2313
1981-11,3.36,-1.51,1.83,0.08,0.95,1.07,-0.27,-1.2442,0.8717,0.8913,2.1547
1981-12,-3.65,1.2,0.81,0.22,2.5,0.87,1.3,1.2971,1.8257,-0.4884,1.3495
1982-01,-3.24,-1.14,3.19,-1.49,1.92,0.8,1.72,-0.3342,1.8289,-1.5697,0.6537
1982-02,-5.86,0.35,6.05,-3.48,4.56,0.92,4.88,0.5434,4.6477,0.2604,2.9919
1982-03,-1.87,-0.05,3.81,-1.38,2.49,0.98,2.96,0.584,1.8158,-1.7187,2.6123
1982-04,3.27,1.09,-2.7,1.57,-0.01,1.13,-0.4,0.4349,1.1523,1.9335,0.5208
1982-05,-3.99,0.64,1.75,0.87,-0.3,1.06,2.5,-0.4383,-0.4864,-0.4619,1.0849
1982-06,-3.09,-0.52,1.53,0.01,2.72,0.96,4.96,0.9337,2.402,-0.3307,3.2813
1982-07,-3.19,0.95,0.09,1.04,1.55,1.05,4.45,1.6572,2.033,2.6567,3.9233
1982-08,11.14,-4.35,0.95,-1.89,0.09,0.76,-3.52,-3.3998,-0.2313,-1.113,-2.716
1982-09,1.29,2.61,0.28,2.14,-0.04,0.51,4.19,2.9996,0.8538,3.3642,3.4851
1982-10,11.3,1.92,-3.66,0.29,-0.34,0.59,0.18,0.9019,-0.9357,-0.7816,-0.6333
1982-11,4.67,4.43,-1.87,-0.97,0.27,0.63,5.95,4.503,1.5525,3.282,3.9336
1982-12,0.55,-0.04,-0.02,-0.01,1.02,0.67,0.04,-0.6529,0.6593,-0.6188,0.0635
1983-01,3.6,3.35,-0.75,-1.55,-0.58,0.69,-1.73,2.3781,-0.4342,-2.1214,-1.7204
1983-02,2.59,2.92,0.7,-0.52,1.05,0.62,3.77,3.6625,1.3022,3.0029,1.8809
1983-03,2.82,1.37,2.02,-0.17,2.74,0.63,0.92,1.6883,2.9888,1.2355,2.0629
1983-04,6.67,0.48,0.49,-0.11,1.42,0.71,1.72,-0.3734,2.2915,0.5902,2.3557
1983-05,0.52,6.3,-1.4,-1.84,-1.51,0.69,-1.56,6.1617,-1.4138,-3.5987,-3.7338
1983-06,3.07,1.18,-3.9,2.6,-0.87,0.67,1.8,2.0286,-1.1767,1.5947,2.6379
1983-07,-4.07,1.01,5.62,-0.14,2.81,0.74,-3.13,0.621,2.8941,1.2493,3.0759
1983-08,-0.5,-4.32,5.54,0.51,1.9,0.76,-5.65,-4.8465,1.3062,-0.6707,0.3201
1983-09,0.91,0.3,1.01,1.24,0.5,0.76,-0.03,0.3673,1.4393,3.2143,2.9507
1983-10,-3.44,-3.77,4.97,-0.77,2.96,0.76,-4.52,-3.9853,2.7519,1.4329,3.7155
1983-11,2.16,1.87,-0.72,-0.67,0.66,0.7,-0.13,2.1412,1.0773,-0.1428,-1.7882
1983-12,-1.78,-0.45,1.73,1.64,1.27,0.73,0.84,-1.1226,1.3473,-1.5498,1.0921
1984-01,-1.92,-0.04,7.58,-0.89,2.92,0.76,-2.56,-1.0795,2.4216,-3.7825,0.9207
1984-02,-4.82,-1.59,3.33,0.9,1.58,0.71,0.22,-1.7614,0.8081,-0.6922,0.767
1984-03,0.63,-0.29,0.46,-0.96,1.17,0.73,1.07,-0.2057,0.7438,-0.7087,1.3193
1984-04,-0.51,-0.95,1.2,3.34,0.76,0.81,2.07,-1.0198,1.1412,2.1254,2.4241
1984-05,-5.97,0.13,0.31,2.36,-0.46,0.78,1.51,-0.4289,-1.4779,1.8038,1.8653
1984-06,1.82,0.11,-2.66,3.17,-1.56,0.75,-0.7,0.4361,-2.224,1.7342,0.5022
1984-07,-2.74,-2.22,0.36,3.55,-2.15,0.82,2.85,-2.4358,-1.1333,3.5624,2.6832
1984-08,10.28,-0.26,-1.82,-0.68,-0.92,0.83,-5.59,0.2388,-0.5642,0.9595,0.2173
1984-09,-0.8,-0.03,5.28,1.37,2.41,0.86,3.62,-0.6136,2.6125,0.2634,1.2525
1984-10,-0.84,-1.44,0.45,1.18,-1.09,1.0,3.16,-1.3783,-0.1114,2.7274,1.6277
1984-11,-1.76,-1.02,4.06,0.72,2.06,0.73,1.64,-1.0661,2.2324,0.8237,1.603
1984-12,1.84,-0.65,-0.26,1.31,-1.36,0.64,1.49,-0.437,-0.7952,2.5304,1.1563
1985-01,7.99,3.51,-5.35,-0.89,-3.41,0.65,-6.82,3.4587,-3.5197,0.9805,-1.7202
1985-02,1.22,1.04,-0.1,1.29,1.06,0.58,1.88,0.7533,1.0872,1.4508,2.1784
1985-03,-0.84,-1.39,4.07,1.23,2.88,0.62,1.58,-1.9802,3.2773,0.9209,2.142
1985-04,-0.96,-0.1,3.72,1.55,0.71,0.72,3.04,-0.701,1.4232,0.1512,1.8619
